"run","learner_id","completed","steps_visited","steps_completed"
"1","d800888a-0115-41c2-b3bc-e9b92ac7a382",0,3,2
"1","715bded6-9c18-4c38-9d64-3df7c8d3f2c0",0,2,0
"1","5a25532d-b709-44cc-94f9-4cf44895fc3e",0,3,3
"1","15e96e0a-be70-4bf3-b4f1-81a11b5baf64",1,60,60
"1","d627097a-038d-469a-a912-16a67ef8762e",0,23,23
"1","1e6eaeea-bf1a-4834-b068-db2f5a80c033",0,0,0
"1","b3b39750-dce4-4e71-932e-451ddb1955be",0,2,1
"1","8923cf06-d1ff-4785-8919-3ed1f9b01be2",0,8,7
"1","565477df-fcab-4798-b0cf-642eb3841948",0,0,0
"1","78560988-37ae-4178-bc4f-cd0d5c8707f4",0,4,3
"1","1dc2d70c-5162-42c0-8c98-6fa6dbf7eb57",0,4,3
"1","d57b403a-e659-4184-beee-fc1b692a90c1",0,0,0
"1","a24a9ca7-c97e-4000-af6c-a987fdf0054f",0,0,0
"1","4d0fc53b-f609-49ae-bda5-c1d2c1687e2f",0,1,0
"1","8069793c-eab0-4937-844d-c87d329b43db",0,2,2
"1","7a8c4d1d-e50d-44cb-9d34-5740155c9e58",1,59,58
"1","8bf99ed0-f0f5-4326-a8ae-fc4787e967a8",1,60,60
"1","cd2f9b5a-1a02-41ee-b88a-dce29d2a53f4",0,0,0
"1","1e3120df-ad1e-4048-8a99-94b7e0ca910d",0,1,0
"1","a896bdd8-8e6e-440d-8b37-9f1f003e4d41",0,8,4
"1","6dcd3b64-9d20-4bdd-8371-bb820d7f0154",0,0,0
"1","4d1e19e6-1afc-472b-ab4f-76c9d0f52850",0,0,0
"1","fcf3f55d-b8c0-4dbc-b140-c5039647289d",0,3,3
"1","95f40494-e5c2-4f1a-a0e5-5ed433f1c506",0,5,5
"1","9aab1803-8bcf-4308-93db-3b28279370ae",0,21,20
"1","9920a52d-02d0-42b0-ab61-e8726ed7a4f1",1,60,60
"1","77d2451c-34c4-49ae-9b68-a5fb6e515f61",1,60,60
"1","3bddf431-82fd-48c2-b68d-604c5120a9ee",0,8,7
"1","63e10022-fece-4812-9ca7-dc50779930bf",0,3,1
"1","e16778e4-c7a7-445f-a253-627ebe6f18da",0,4,4
"1","9e49b753-ad29-4b2f-a9d0-33515faaef7a",0,1,1
"1","dd9fe13f-6dc1-4f4c-bb86-0a3207cc307c",0,1,0
"1","49fd867d-4787-451a-a4d7-3ba50ad411c9",0,1,0
"1","057d5acf-ddc3-4332-b475-4e9f4211e2df",0,2,0
"1","56e52725-4ff1-44c4-989d-aaf69383f122",0,0,0
"1","46a3abfd-e6aa-4095-931f-ba93a338fb0d",0,2,0
"1","a36b32fc-0288-4f78-80ca-0bd9dfaa94a8",0,0,0
"1","c93faa03-cfe3-4d21-aee0-9f0cc557cfbe",0,3,0
"1","1cb960b2-9e95-40af-a7c8-86876aad7b49",0,0,0
"1","2858b957-d28d-419e-8921-6ef10b62731c",0,23,21
"1","997af3e4-7f9f-43db-97af-eaa8a3785d7d",0,0,0
"1","127d5880-8171-4aa9-8293-9e2e907a50a3",0,0,0
"1","e8de7022-adf1-4f8e-b1c3-5085edf289b6",1,60,60
"1","0f60289d-33c3-4754-8961-8a6f4b206e5d",0,0,0
"1","00c36af8-9600-48ac-baa1-7b65de392540",0,1,0
"1","cb0fba3d-044f-4e19-8f55-41c09a22f142",0,4,3
"1","6bb4f1e9-62eb-494d-8255-a87453954beb",0,0,0
"1","ab756bba-f4b4-4098-b9e4-643c5fc47360",0,0,0
"1","5af07c0d-aea0-44e7-8ddc-51cef0e7783d",0,8,7
"1","0bd31db9-d408-4821-952c-bbd7df855948",0,0,0
"1","37d60138-3ddc-406e-b784-c52218379a27",0,23,22
"1","4e85e0ee-d6ba-4634-b199-fa33d0efdcfa",0,3,3
"1","55f1625c-4e4c-4941-92f3-6b839ccdba03",0,3,0
"1","447283b4-e6a4-45f6-977d-e33c19a71745",0,1,0
"1","925ba8bb-18c1-4ca0-9dfb-f00ed2461c53",0,0,0
"1","70e7b88c-105e-4f1a-a815-cac3e635f260",0,0,0
"1","27daf41d-311d-4172-89f0-52298d6ef0bc",0,3,3
"1","f6d83199-5646-4b40-b79a-3c9bf94f5830",0,0,0
"1","f54c59f4-22d1-4de1-9629-415880f8b6dc",1,39,39
"1","1e43660c-4c95-4556-92bb-22767a23ba30",0,0,0
"1","815be1da-7984-4a57-840b-64de5e702b5c",0,2,1
"1","9cb4c65f-2b03-46fc-a79d-903c46c4c6d2",0,0,0
"1","4969a5b4-c0d0-4f7c-bab9-84dd6c55681f",0,18,18
